"iR","iE:iR","r","k1","k4","covidf","beta_pp","beta_cc:beta_pp","c1","c4:c1","v","z","d","covid.d.factor","p"
0.103850031488513,0.00624277152264815,1.06662441802674,2.01166489821719e-05,-7.21489499300681e-05,0.7702430645735,70.1243618960015,0.152782103511955,0.133281434116531,0.159596806352353,0.0497588772336382,-0.498842732452136,0.675962880287335,0.759907886280903,1.6649274046259
0.141459771134549,0.00836364414588193,0.409245434864603,3.14218607527763e-05,-1.02743679162684e-05,0.785931982523742,78.9742384226853,0.137886059011457,0.127047673029898,0.461454600160522,0.0274916695987026,-0.10997330693646,0.504017983791651,0.68068235232896,1.24163560693404
0.278637502142166,0.00388449693150019,0.97044833273602,1.66277867344045e-05,-5.88314616470989e-05,0.864264116964575,75.5845436864824,0.297462630237592,0.106517945875088,0.599322101710783,0.00890102756075212,-0.204253881609626,1.12860917871751,0.85733406972865,1.13745238988064
0.304829609009655,0.00589339776998539,1.53473632200943,4.51392195430212e-05,-8.93363671305188e-05,0.847321856156651,45.3667336397863,0.213306446513347,0.109054279613912,0.259960491106613,0.0473044210742577,-0.21042422881381,1.17047032004166,0.701231357922805,1.00550223133471
0.156932430480576,0.00922466178359661,0.456479405633298,2.69994065738376e-05,-9.27297442227306e-05,0.865004410664512,49.6222404651379,0.152004387504778,0.155376599572422,0.680016635161685,0.0210981121422362,-0.315761638416474,1.04247083126488,0.694825655528612,1.79912437136201
0.301481648089395,0.00264844389681252,0.820386831275723,5.05236291662347e-05,-5.38083108660259e-05,0.930414833959153,43.2413090096961,0.110457927979001,0.127863727294335,0.187026199742034,0.00759621938824421,-0.139053321340618,0.524156283621288,0.769277275725078,1.75688718538014
0.134566885983851,0.00570294164669601,0.767998121094634,9.77216659817589e-05,-0.000143902733213154,0.775896855961085,37.4775175658544,0.143716815641678,0.106574489646305,0.296379802638525,0.0067525917580619,-0.248957243485035,0.532761603033209,0.682021023882875,0.99661785136098
0.313065445274642,0.00813966852659411,0.4580682221999,7.61738991152961e-05,-0.000128859664482878,0.865316060656391,50.0627231447108,0.164527222075189,0.111165768816738,0.314711387067381,0.0303842571987328,-0.116171183987241,0.84120328309692,0.679840310611657,1.61288219707804
0.178829770607905,0.00778734832615653,1.38258385718749,9.80844563081605e-05,-0.000190997478310857,0.717202567586384,52.4881071575405,0.238444916874745,0.0910006413770048,0.19329212583974,0.0284505519144598,-0.323123324780321,0.9543031085897,0.692789668569539,0.968429192601237
0.330041307462566,0.00608166304022664,1.00058563958852,2.352703601758e-05,-9.80981010109716e-05,0.79297621078634,63.2390782137471,0.145542542311689,0.120475896473823,0.533167393464409,0.0207090416011203,-0.328153288321011,0.505130641964629,0.821356399549936,1.719865561717
0.260073048755713,0.000171213043683327,1.22739796105919,2.7980481311495e-05,-0.000161944474977197,0.946824994847275,48.8589939825167,0.129067561342241,0.11791286697922,0.67563904413553,0.0165180456402421,-0.253560557453645,1.1420127086648,0.604364295090285,0.969215285554528
0.170482444998405,0.00245448029962639,1.02225992181336,4.60721665969235e-05,-0.000182188403924118,0.809875946987168,57.1647435008246,0.128090056292061,0.10429086012021,0.161248882629536,0.0453963914129173,-0.357962995759739,0.943128843973445,0.848005005373666,1.94224898165111
0.411003387230728,0.00403216302364365,0.369069582990378,9.15863994279481e-05,-9.25637503851228e-05,0.884040989363566,48.9371072442399,0.138025441725242,0.105291793738341,0.202563648980763,0.0128846556646784,-0.288228891762812,0.757842673614575,0.732911079473153,1.20353972525643
0.444312356418744,0.00794052253207212,1.53412693129137,5.02546163526829e-05,-5.05595332062115e-05,0.900635846434646,79.4105239771458,0.247774417738151,0.113012460505243,0.635744355715159,0.0120175270097354,-0.22864624927196,0.878410887270048,0.661544727660324,1.32829136456959
