"iR","iE:iR","r","k1","k2","k3","SoEf","SoEf2","beta_pp","beta_cc:beta_pp","c1","c4:c1","v","z","d","d1:d4","v1ratio","covid.d.factor","p"
0.00682302405625465,0.0312319162654913,0.556408154018701,0.000178145048676815,0.000310619872614198,-0.000329818535711015,51.2134343031608,2.15991691787591,30.4550962406482,0.210210936795482,0.159561282144791,0.20140999492708,0.0826434550253232,-1.0430088516154,0.832507905143918,0.454373229755213,0.878988190661068,0.737999918996442,0.255342859890803
0.0251541692859307,0.0418190229581428,0.379479152562205,0.000209514947670861,0.000388338470930544,-0.000314038482440752,59.0848565277333,1.97416429725437,28.2268920891821,0.537383398695511,0.119989218660997,0.687590643796332,0.0605168441486964,-1.26951562525743,0.620946196655557,0.570408015583393,0.340748230025289,0.645124239358803,0.155507373532781
0.0920769755682524,0.0194515825640918,0.530531344153239,0.000168356477748001,0.000327393503210372,-0.000235714623281965,56.071031670173,3.96759962653702,20.8945920936899,0.686792989215464,0.0869500157537435,0.569751542658778,0.140846197446682,-0.764813442244815,0.568617011277424,0.892791405574356,0.340946924088057,0.771870158043251,0.378835215131824
0.104903473116354,0.0294832500935871,0.682485212493773,0.000247595255198365,0.000289071182124181,-0.000252724724962512,29.226312696971,2.91642864503704,21.8043456005883,0.319119010342172,0.155224980475375,0.561910277062096,0.146199952100655,-1.21097685060169,0.502779263187991,0.268979075131131,0.143401999298786,0.808138797644642,0.408476016030419
0.0327390290854441,0.0461410185220365,0.392156737651315,0.000197241258727794,0.000284758305221544,-0.000234945729136389,32.993576270761,2.15036233818294,38.3479859406614,0.774299301311242,0.10862623137502,0.430191980022743,0.129723505322537,-1.22900560228682,0.899488454102352,0.886358798063857,0.363601539988234,0.857439113100339,0.216276673855323
0.103220878321137,0.0132789099008028,0.49006768163242,0.000262567329429381,0.000333609124612199,-0.000169619003733911,27.3304824899013,1.63026139728085,28.5174961922186,0.24009985973712,0.0846305540345982,0.651327892730362,0.0631131861364609,-1.01661968158201,0.878543728254782,0.61272875562186,0.646744577651215,0.649285366778906,0.29768138019853
0.0218600508481171,0.0285425512029652,0.475943719441859,0.000393682739608533,0.000220451573295072,-0.000324162809369077,22.2128212382582,2.04640378714112,20.9227524786528,0.358398481984056,0.0830997332711207,0.513731904841727,0.0642051724008238,-1.26541931268953,0.498259429858159,0.573891023304127,0.413106280077412,0.8646469754747,0.168850380847219
0.108812703391489,0.0407035495261913,0.392503278465453,0.00033382826978983,0.000239370261125907,-0.000234701543755752,33.3975578348183,2.30618814948966,22.5622872241404,0.378403139841646,0.12512605882084,0.679735402208598,0.103881080288824,-1.27184231755611,0.806555702485703,0.692016134533534,0.807029590246733,0.651580144114928,0.280893408126729
0.0434484596252348,0.0389486384360932,0.641480742402227,0.000394710441404954,0.000161267803089383,-0.000382767362074946,35.5414859977985,3.2307023336296,15.3577332611312,0.246827223769614,0.121705649981163,0.42111203575468,0.118419403889074,-1.23468412295093,0.48428131822939,0.396498361527361,0.325050504648639,0.656996123657403,0.356126709592498
0.117179451678002,0.0304235329259286,0.53858444574237,0.000187578982690524,0.000278013999470219,-0.000307038635814892,45.093541392892,2.06999070614324,25.8853671760376,0.61491679426342,0.107930703608928,0.414791503178189,0.0606374339646357,-0.867621741441932,0.859858546094643,0.730632265842954,0.60581398213096,0.812912889347641,0.411731936037044
