"iR","iE:iR","r","k1","k2","k3","beta_pp","beta_cc:beta_pp","c1","c4:c1","v","z","z2:z","z3:z","p","d","covid.d.factor"
0.0108412937959423,0.12852887678224,1.97462218799395,0.000121503345563591,-0.00042179988290763,9.21471145418822e-05,35.6106471098882,0.3395718937775,0.121812579494862,0.209558480505832,0.398369304596633,1.00144456203798,-0.549709564447061,0.491342600523339,-0.702345078067249,0.658908831295829,0.759629873847566
0.0193001822745008,0.168868717749574,0.710725217937919,0.000245859472053689,-0.000141832268887875,0.000101566753361793,39.5428231653975,0.328420637442532,0.112929398353576,0.511535132603394,0.249906107912492,1.48757493036283,-0.598812366522383,0.446128977068032,-1.33732137641292,0.731607718464414,0.580206926789973
0.0501921903071459,0.0836768727627785,1.78935180044869,8.2774052665811e-05,-0.000361466171034868,0.000148573224005196,38.0385452047937,0.448062788342824,0.0835710699944524,0.649352010080591,0.126007937923516,1.36979424646489,-0.420365355407167,0.547027519254821,-1.49370165119795,0.932917599226154,0.580379402680229
0.0561080815411033,0.121876382216557,2.87456829575511,0.000396602964303233,-0.000499464961202908,0.000138354852673074,24.609537863868,0.384962021461967,0.0872168420013972,0.309931677575316,0.382091163635394,1.36188759048989,-0.408423383307488,0.457862936631544,-1.69182014211239,0.543103859956531,0.514403513992252
0.0228024780401122,0.185256386474161,0.80129396772924,0.000196894220010641,-0.000514671415848471,0.000149044413994299,26.4968023266783,0.339002263101505,0.153392920993509,0.730162851983495,0.207377155275503,1.23022278103764,-0.445016192550895,0.454187295998183,-0.501452416242892,0.928926957372227,0.587869411473535
0.0553453363883705,0.0601930620251557,1.50016552437485,0.000455591718326842,-0.000339012442186917,0.000188216679285711,23.6645907359198,0.307801045876602,0.114068608014355,0.237131672156416,0.117374271524162,1.45120138938993,-0.593132509438104,0.496667757174574,-0.564612683363911,0.757985539540687,0.682220548249967
0.0177744569700444,0.11825154843474,1.39923732316723,0.000975037129502881,-0.000746426798106195,9.55366898054024e-05,21.1059647320428,0.332770745987899,0.083678623390578,0.346230983113498,0.111611513832328,1.31380150101489,-0.590625770888617,0.446919136467297,-1.70529177528652,0.733708483415306,0.604360865413933
0.0579210094379191,0.164615736107118,0.803703131610722,0.00073767799416072,-0.000678204793912219,0.000149194637832744,26.6944817610799,0.348364799565461,0.0902453919060994,0.364766236225655,0.269281039019278,1.4796854068697,-0.502498656656329,0.445612987640034,-0.780634418527177,0.807570287315214,0.735666701627569
0.0277308211340592,0.15790164079272,2.58207579398974,0.0009791319444239,-0.000959374527914287,6.030596407298e-05,27.7692615312245,0.403829794007889,0.0614259109974684,0.243212633177545,0.25638648597023,1.22111593443384,-0.470142930341574,0.453024823534287,-1.74722177959438,0.622719176210579,0.575021899715438
0.061753938145556,0.12549736354681,1.8470553606054,0.000158564388720265,-0.000538979857778922,0.00010576824476613,32.5523288779116,0.334198376824381,0.103566339429615,0.583050054509332,0.204796221454768,1.21472775703164,-0.598562135407391,0.526467000821171,-0.620019831280876,0.831523011670525,0.668656152645289
0.0460114015349327,0.0130575792356441,2.28366683743312,0.000207874982219012,-0.000827872703177272,0.000198071493092424,26.1555086877818,0.321845537267404,0.0998970631609283,0.725791573677072,0.176774898275128,1.30801070141785,-0.416553459289266,0.402481616028274,-1.74576883930499,0.715514459444365,0.736481310585304
0.0258578084089467,0.0564888398114801,1.88902787071769,0.000406916616465324,-0.00091951780551041,0.000115911876892264,29.8491143349496,0.321059105275711,0.0804165589903404,0.211222334839217,0.369315638296981,1.17762994844358,-0.473344270978651,0.541728005192832,-0.286478036256135,0.604579273133927,0.528999742493569
0.0799708633911912,0.0864592490254591,0.633118713258106,0.000907537767683114,-0.000514149000599212,0.000160401288882562,26.1986883928254,0.328540807969519,0.0818606009536345,0.252526670795213,0.152501161794434,1.26473872385027,-0.526317739944113,0.475937637204786,-1.39479605632527,0.705358159891019,0.674441920859483
