"iR","iE:iR","r","k1","k2","covidf","beta_pp","beta_cc:beta_pp","c1","c4:c1","v","z","d","d1:d4","v1ratio","covid.d.factor"
0.00105071273014152,0.0624159374700906,0.830759809169336,2.01335592327476e-05,-7.79242382631133e-05,0.348258886259887,33.4179346937779,0.305529790604456,0.118004773744927,0.207875451259664,0.05973255607972,-0.119684920509309,0.550848714060755,0.674046474981913,0.720963206019408,0.495301954580308
0.0104233858942936,0.0836280163677858,0.375814730367833,3.14416758159408e-05,-1.88389661674093e-05,0.370393951129261,39.3154225464142,0.275784524824812,0.108208296620321,0.459529356611699,0.0349879284732936,-0.0127380323703098,0.403436287729396,0.538313388451887,0.368259594346474,0.53894233589049
0.0447148057912398,0.0388551765459395,0.764155927412189,1.66091936385329e-05,-6.52204067366888e-05,0.480012259610451,37.0521159951435,0.594847014316761,0.0759457037570297,0.574354802576049,0.0143417321546857,-0.0386430562007769,0.938891159916157,0.841004878421454,0.281261332143797,0.659788159464952
0.0512648557013533,0.0589164597462827,1.15473029078927,4.51595257287356e-05,-9.4339084935321e-05,0.456242371086617,16.9108273637807,0.426616127414132,0.079935793174066,0.291638359143632,0.0570131977726162,-0.0403733249030906,0.974795612669317,0.573552034294978,0.171145325383016,0.425845235686004
0.0143031817534485,0.0922433713770573,0.408374839214282,2.69970035055489e-05,-9.75693972189709e-05,0.481109115012425,19.7418018149887,0.304056298755668,0.15271419405007,0.641701356781763,0.0278956849383268,-0.0693334319789622,0.864949876687489,0.562478591681272,0.832532430722999,0.657329594317498
0.0504296483158577,0.0264803068847551,0.660098111337377,5.05010118478094e-05,-6.04717633325677e-05,0.572531727051549,15.4937580726971,0.220828781763588,0.10948459955679,0.230885373579144,0.0128877507745521,-0.0207168044655048,0.420755233560223,0.690148944665864,0.797367958650148,0.554765049175196
0.0087407350778356,0.0570322988629501,0.623985568768065,9.77249918730138e-05,-0.000146420304891185,0.356187912851444,11.6578759610001,0.287351917230431,0.0760479803876881,0.321968494542137,0.0119370423366781,-0.0509724014780104,0.42805277278875,0.540682788391924,0.163723643562446,0.540249658459052
0.0532858618076804,0.0813899268432171,0.409369625388854,7.61723030573502e-05,-0.000132098772873004,0.481358638925528,20.0464889129205,0.329061966352941,0.0832587165926583,0.337271900392564,0.0382112819439809,-0.0144618007861613,0.692490222730441,0.536834264872223,0.677423410559228,0.584568200028827
0.0197817196095879,0.077859111204223,1.04953900929932,9.81051495756884e-05,-0.000191416157096311,0.274108137541257,21.6561832934711,0.476850427825314,0.0515671970713783,0.236101712307272,0.0360500449901602,-0.0713599142041632,0.789502813267987,0.559058919443749,0.140611998336933,0.473689711270155
0.0575425352929035,0.0608142664297255,0.784830465171765,2.35255446972209e-05,-0.000102667840172448,0.38017437969159,28.8205269020284,0.291144890131087,0.0979171917106762,0.519251586409053,0.0274635930275506,-0.0727682768220873,0.404320437897649,0.779439345384948,0.766360396622835,0.598995412364975
0.0400852973441053,0.00171396250538544,0.942091487668943,2.79844183656154e-05,-0.000163667790606756,0.595492653527596,19.2390083110146,0.258162609183385,0.0938836834672776,0.63806635722258,0.0227941478287646,-0.0522145252473357,0.950319472865202,0.407456144697964,0.141046584346409,0.529311226458335
0.0177020806981769,0.0245648196794852,0.800059544593119,4.60643503613235e-05,-0.000182982206019051,0.403827590135683,24.7778172254283,0.256214780871322,0.0724744583650803,0.209406729938889,0.0548839209176367,-0.0809472802863099,0.779870180851081,0.825154860922089,0.951953415050637,0.462702839014167
0.0777669452446807,0.0403183938300718,0.347973115665908,9.15821832255996e-05,-9.74222267197228e-05,0.507698913710638,19.2911050142487,0.276061527040042,0.0740311720087992,0.24382416350216,0.0187513898492791,-0.0617616032839986,0.62111267223605,0.62781168556721,0.336309442531162,0.52321295651244
