"iR","iE:iR","r","k1","k2","k3","covidf","beta_pp","beta_cc:beta_pp","c1","c4:c1","v","z","d","d1:d4","covid.d.factor","p"
0.0117760646803227,0.0313798915827414,0.376954662559275,1.4505185679337e-05,0.000339100058546185,0.000147680574170148,0.834159706648323,21.5953156295834,0.447250317979449,0.0517523880927358,0.797282174327721,0.0206644985374707,-1.03626564890001,0.865370402093356,0.83255164064425,0.71123618190708,0.878889621542697
0.0296337181350573,0.0418894817294942,0.22528702615255,1.95296756385329e-05,0.000479083865556063,0.000178451394315191,0.893142347480962,19.7367729070887,0.411717593414305,0.107114774310622,0.549843513187487,0.244284467966902,-1.24495255772013,0.68451590827213,0.620892874529027,0.76212540292509,0.340620780369919
0.0948501795373081,0.0196947642197765,0.354722216053843,1.29403657642752e-05,0.000369266914482566,0.000332005865083641,0.870578178071906,39.6771313904707,0.29428427997781,0.132381201848108,0.34334656320586,0.190105353373849,-0.486552760480461,1.08811007701928,0.56876611626735,0.903042319458308,0.341138208040688
0.10733928325344,0.0296467416827347,0.484948195490614,2.56203217900296e-05,0.000300267519398546,0.000298625852065374,0.66914306795802,29.1603369103279,0.308867368005589,0.070154140888808,0.770151939392323,0.186468291625351,-0.435799379056824,0.731451746526174,0.502726619295869,0.630172701969572,0.143210541976755
0.0370274536402368,0.0461589006866894,0.236155276127509,1.75512816165915e-05,0.000292664292075764,0.000333545085714711,0.697452034900174,21.5003771835841,0.573571683974036,0.147196522863641,0.478961925459172,0.125902479277314,-0.591318818341304,0.716749183992731,0.899515861252369,0.900248870160559,0.363608234420605
0.10572904348656,0.0135766135276064,0.320019862924982,2.80037057909835e-05,0.000380493778906541,0.00046150781899999,0.654968861038797,16.300174312767,0.416274432057422,0.0568074732286762,0.328957119206937,0.227552639119367,-1.22081316511194,0.886671028698298,0.878462438878696,0.780589877678481,0.646661644749902
0.026412742492316,0.0287023770922085,0.307908478780068,4.89913991718336e-05,0.000176786600946903,0.000158753186697648,0.616589470980642,20.4617909979832,0.294714493562312,0.0768090135708079,0.31935252305388,0.16434869046685,-1.21015952627662,0.687676545869186,0.498236074904492,0.763595938390714,0.413082596241799
0.111166575480051,0.0407814680910651,0.236444375793287,3.94011310772008e-05,0.000210897603043891,0.000334035816920297,0.700417226416199,23.0607999275768,0.320981567624398,0.0802071433080368,0.58213506503213,0.240655287160064,-0.835619290789399,0.682451950560138,0.806455193824275,0.81529920112065,0.807000104882708
0.0474317335052361,0.0390322695749456,0.449849095278769,4.91568462393495e-05,7.03127360428567e-05,4.3666149305068e-05,0.716538922968367,32.3049656679815,0.205703643989873,0.0579223160825499,0.560644143283716,0.121713329839568,-0.69810745395169,0.712099294137148,0.484259406801872,0.685903423347406,0.325065699146315
0.11925831386284,0.0305901026082478,0.361646643272648,1.60026015644552e-05,0.000280510071110539,0.000192176266236024,0.788284933168674,20.6997294707301,0.374265357718461,0.120225843326711,0.474660369091279,0.118774768234555,-1.24388907548141,1.00586800328468,0.859993389573041,0.832066108169368,0.605968457935867
