"iR","iE:iR","r","k1","k2","k3","covidf","beta_pp","beta_cc:beta_pp","c1","c4:c1","v","z","d","covid.d.factor"
0.0113475110209795,0.0642706000652226,1.19228331809235,3.78685047639115e-05,-4.43012964683554e-05,-6.876110966824e-05,0.773189481413345,59.5150784657876,0.366407170582656,0.101599467725392,0.748124600706075,0.0301446584434831,-0.799449782692951,0.765503740070636,0.616231851156475
0.0245109198970922,0.0844390584443226,0.813026212421886,4.66614472521593e-05,-3.18641945560339e-05,-6.62508827962012e-05,0.842021854398664,55.4186662281506,0.33523836514949,0.151909100026754,0.574935207989909,0.0787533366329425,-0.897704009261914,0.584416805323338,0.510408901733509
0.0725231257497581,0.0418445654146664,1.13679711504001,3.51549452378702e-05,-4.16244144014269e-05,-5.37177412856681e-05,0.815657562005974,99.3022233153379,0.232589729375439,0.174887016951797,0.430341325472516,0.0669682647987967,-0.540794755018565,0.98819215937977,0.484363097470161
0.0816903631533791,0.0609482270419031,1.46234787808236,5.73305040890165e-05,-4.77560536945766e-05,-5.64285030149358e-05,0.580630150531671,76.1592727911705,0.245271398069562,0.118326748517769,0.729034386133115,0.0661969713982738,-0.516874102833339,0.631385960966411,0.451375557833677
0.0299263506682015,0.0926269138580258,0.840276580173057,4.32217606685404e-05,-4.84381395422574e-05,-5.35992942936781e-05,0.613728536951072,59.301206563814,0.47688299786211,0.188336105860281,0.525207538884059,0.0530297951979407,-0.590016667848639,0.61674435549397,0.649781092840503
0.0805185768312883,0.030090307327046,1.05022317188984,6.15183782404048e-05,-4.06147358524675e-05,-4.31336265665355e-05,0.564099070075414,47.8759301942253,0.339318636471673,0.106171033290339,0.420192817464122,0.0751183348324228,-0.886196409359264,0.786919487371606,0.639221796345036
0.0220984100943478,0.0591370827263384,1.01999891601613,9.82279624302569e-05,-5.8724167480031e-05,-6.78565030462264e-05,0.519269581067756,57.0221243014613,0.232872448231524,0.124396633773088,0.41363126922937,0.0613803445643707,-0.881279083981024,0.587476626018,0.449154462840245
0.0845729058461248,0.0823091601628069,0.841193205115327,8.14685882007858e-05,-5.57004350719353e-05,-5.35494302949775e-05,0.61715451334775,62.744986070677,0.25582884408369,0.127451897844564,0.5974331115457,0.0779786020015948,-0.705026695373189,0.582492138540931,0.60322054926951
0.0375904197127667,0.0789587678663534,1.37456760991586,9.85101326841248e-05,-6.81904479016798e-05,-7.72475891861785e-05,0.636018611225315,83.0723521405548,0.155003206885024,0.107215354306623,0.582393181556909,0.0521095844024598,-0.640398223663028,0.61209067101609,0.442107298150309
0.090514457611898,0.0627385374195726,1.15418402283953,4.05210280136733e-05,-4.95172062333611e-05,-6.51238062741856e-05,0.719637274995811,57.5241991357144,0.302379482369113,0.163861232244068,0.52218143467538,0.0514808389598737,-0.897068204591641,0.905957484685567,0.629966390429251
0.0660255670644995,0.00653305697196357,1.28503728522646,4.39848187978294e-05,-6.23506482366224e-05,-4.05080008244359e-05,0.607792175419574,52.9935793691163,0.289564334896102,0.187606507355922,0.489584799424105,0.0608049303182944,-0.533135595048685,0.409975531634937,0.442303821388632
